State Abbreviation,FIPS,Year,HPI,
AL,01,1975,100.00,
AL,01,1976,105.90,
AL,01,1977,116.89,
AL,01,1978,126.32,
AL,01,1979,140.60,
AL,01,1980,147.31,
AL,01,1981,154.10,
AL,01,1982,154.28,
AL,01,1983,161.33,
AL,01,1984,169.77,
AL,01,1985,174.42,
AL,01,1986,182.13,
AL,01,1987,188.40,
AL,01,1988,193.26,
AL,01,1989,196.45,
AL,01,1990,199.78,
AL,01,1991,204.27,
AL,01,1992,209.60,
AL,01,1993,216.03,
AL,01,1994,223.29,
AL,01,1995,232.36,
AL,01,1996,240.16,
AL,01,1997,248.86,
AL,01,1998,257.87,
AL,01,1999,264.25,
AL,01,2000,272.76,
AL,01,2001,283.59,
AL,01,2002,289.30,
AL,01,2003,295.37,
AL,01,2004,304.68,
AL,01,2005,324.46,
AL,01,2006,349.27,
AL,01,2007,363.17,
AL,01,2008,365.85,
AL,01,2009,356.65,
AL,01,2010,341.01,
AL,01,2011,328.99,
AL,01,2012,323.69,
AL,01,2013,321.19,
AL,01,2014,326.05,
AL,01,2015,332.75,
AL,01,2016,340.79,
AK,02,1975,100.00,
AK,02,1976,108.89,
AK,02,1977,118.35,
AK,02,1978,130.61,
AK,02,1979,145.40,
AK,02,1980,136.27,
AK,02,1981,164.77,
AK,02,1982,209.09,
AK,02,1983,219.67,
AK,02,1984,234.86,
AK,02,1985,222.02,
AK,02,1986,213.61,
AK,02,1987,180.98,
AK,02,1988,192.68,
AK,02,1989,172.68,
AK,02,1990,173.48,
AK,02,1991,196.83,
AK,02,1992,204.31,
AK,02,1993,207.21,
AK,02,1994,215.53,
AK,02,1995,226.04,
AK,02,1996,235.46,
AK,02,1997,241.88,
AK,02,1998,247.79,
AK,02,1999,257.14,
AK,02,2000,262.68,
AK,02,2001,275.78,
AK,02,2002,288.36,
AK,02,2003,297.58,
AK,02,2004,327.65,
AK,02,2005,369.08,
AK,02,2006,405.66,
AK,02,2007,418.98,
AK,02,2008,417.74,
AK,02,2009,412.41,
AK,02,2010,410.18,
AK,02,2011,411.98,
AK,02,2012,412.68,
AK,02,2013,424.09,
AK,02,2014,434.14,
AK,02,2015,448.10,
AK,02,2016,457.72,
AZ,04,1975,100.00,
AZ,04,1976,104.32,
AZ,04,1977,112.62,
AZ,04,1978,130.29,
AZ,04,1979,159.61,
AZ,04,1980,178.21,
AZ,04,1981,192.69,
AZ,04,1982,192.58,
AZ,04,1983,203.07,
AZ,04,1984,211.51,
AZ,04,1985,218.82,
AZ,04,1986,230.22,
AZ,04,1987,232.18,
AZ,04,1988,230.17,
AZ,04,1989,228.86,
AZ,04,1990,227.92,
AZ,04,1991,232.95,
AZ,04,1992,237.61,
AZ,04,1993,241.64,
AZ,04,1994,252.87,
AZ,04,1995,268.94,
AZ,04,1996,280.15,
AZ,04,1997,291.85,
AZ,04,1998,304.41,
AZ,04,1999,317.66,
AZ,04,2000,339.76,
AZ,04,2001,359.96,
AZ,04,2002,377.66,
AZ,04,2003,392.21,
AZ,04,2004,436.54,
AZ,04,2005,566.48,
AZ,04,2006,666.67,
AZ,04,2007,661.89,
AZ,04,2008,579.93,
AZ,04,2009,470.37,
AZ,04,2010,407.91,
AZ,04,2011,366.09,
AZ,04,2012,380.65,
AZ,04,2013,427.49,
AZ,04,2014,470.90,
AZ,04,2015,495.56,
AZ,04,2016,529.22,
AR,05,1975,100.00,
AR,05,1976,109.82,
AR,05,1977,122.80,
AR,05,1978,132.45,
AR,05,1979,153.39,
AR,05,1980,163.59,
AR,05,1981,171.26,
AR,05,1982,172.36,
AR,05,1983,186.39,
AR,05,1984,190.46,
AR,05,1985,193.93,
AR,05,1986,199.68,
AR,05,1987,201.27,
AR,05,1988,199.34,
AR,05,1989,199.76,
AR,05,1990,201.46,
AR,05,1991,205.04,
AR,05,1992,209.60,
AR,05,1993,217.43,
AR,05,1994,228.47,
AR,05,1995,240.47,
AR,05,1996,247.54,
AR,05,1997,253.93,
AR,05,1998,261.18,
AR,05,1999,266.95,
AR,05,2000,274.71,
AR,05,2001,286.75,
AR,05,2002,294.08,
AR,05,2003,301.21,
AR,05,2004,317.47,
AR,05,2005,339.41,
AR,05,2006,359.18,
AR,05,2007,367.41,
AR,05,2008,365.32,
AR,05,2009,357.46,
AR,05,2010,346.40,
AR,05,2011,340.36,
AR,05,2012,339.39,
AR,05,2013,343.19,
AR,05,2014,347.50,
AR,05,2015,354.65,
AR,05,2016,363.41,
CA,06,1975,100.00,
CA,06,1976,114.41,
CA,06,1977,139.35,
CA,06,1978,163.89,
CA,06,1979,190.19,
CA,06,1980,220.88,
CA,06,1981,243.59,
CA,06,1982,248.70,
CA,06,1983,249.50,
CA,06,1984,257.04,
CA,06,1985,271.01,
CA,06,1986,287.00,
CA,06,1987,310.91,
CA,06,1988,362.07,
