Year,State,Yearly_Unemployment_Rate,,,,,,,
1990,AL,6.8,,,,,,,
1991,AL,7.4,,,,,,,
1992,AL,7.6,,,,,,,
1993,AL,7.4,,,,,,,
1994,AL,6.2,,,,,,,
1995,AL,6.0,,,,,,,
1996,AL,5.2,,,,,,,
1997,AL,5.0,,,,,,,
1998,AL,4.4,,,,,,,
1999,AL,4.7,,,,,,,
2000,AL,4.6,,,,,,,
2001,AL,5.1,,,,,,,
2002,AL,5.9,,,,,,,
2003,AL,6.0,,,,,,,
2004,AL,5.7,,,,,,,
2005,AL,4.5,,,,,,,
2006,AL,4.1,,,,,,,
2007,AL,4.0,,,,,,,
2008,AL,5.7,,,,,,,
2009,AL,11.0,,,,,,,
2010,AL,10.5,,,,,,,
2011,AL,9.6,,,,,,,
2012,AL,8.0,,,,,,,
2013,AL,7.2,,,,,,,
2014,AL,6.8,,,,,,,
2015,AL,6.1,,,,,,,
2016,AL,5.9,,,,,,,
2017,AL,4.4,,,,,,,
1990,AK,7.2,,,,,,,
1991,AK,8.5,,,,,,,
1992,AK,8.9,,,,,,,
1993,AK,7.7,,,,,,,
1994,AK,7.6,,,,,,,
1995,AK,7.3,,,,,,,
1996,AK,7.6,,,,,,,
1997,AK,7.1,,,,,,,
1998,AK,6.4,,,,,,,
1999,AK,6.5,,,,,,,
2000,AK,6.4,,,,,,,
2001,AK,6.4,,,,,,,
2002,AK,7.3,,,,,,,
2003,AK,7.8,,,,,,,
2004,AK,7.5,,,,,,,
2005,AK,6.9,,,,,,,
2006,AK,6.6,,,,,,,
2007,AK,6.4,,,,,,,
2008,AK,6.7,,,,,,,
2009,AK,7.7,,,,,,,
2010,AK,7.9,,,,,,,
2011,AK,7.6,,,,,,,
2012,AK,7.1,,,,,,,
2013,AK,7.0,,,,,,,
2014,AK,6.9,,,,,,,
2015,AK,6.5,,,,,,,
2016,AK,6.9,,,,,,,
2017,AK,7.1,,,,,,,
1990,AZ,5.3,,,,,,,
1991,AZ,6.0,,,,,,,
1992,AZ,7.5,,,,,,,
1993,AZ,6.4,,,,,,,
1994,AZ,6.2,,,,,,,
1995,AZ,5.4,,,,,,,
1996,AZ,5.6,,,,,,,
1997,AZ,4.6,,,,,,,
1998,AZ,4.3,,,,,,,
1999,AZ,4.4,,,,,,,
2000,AZ,4.0,,,,,,,
2001,AZ,4.8,,,,,,,
2002,AZ,6.1,,,,,,,
2003,AZ,5.8,,,,,,,
2004,AZ,5.0,,,,,,,
2005,AZ,4.7,,,,,,,
2006,AZ,4.2,,,,,,,
2007,AZ,3.8,,,,,,,
2008,AZ,6.1,,,,,,,
2009,AZ,9.9,,,,,,,
2010,AZ,10.4,,,,,,,
2011,AZ,9.5,,,,,,,
2012,AZ,8.3,,,,,,,
2013,AZ,7.7,,,,,,,
2014,AZ,6.8,,,,,,,
2015,AZ,6.0,,,,,,,
2016,AZ,5.4,,,,,,,
2017,AZ,4.9,,,,,,,
1990,AR,6.9,,,,,,,
1991,AR,7.4,,,,,,,
1992,AR,7.1,,,,,,,
1993,AR,6.1,,,,,,,
1994,AR,5.4,,,,,,,
1995,AR,4.9,,,,,,,
1996,AR,5.3,,,,,,,
1997,AR,5.2,,,,,,,
1998,AR,5.2,,,,,,,
1999,AR,4.6,,,,,,,
2000,AR,4.3,,,,,,,
2001,AR,5.0,,,,,,,
2002,AR,5.5,,,,,,,
2003,AR,5.9,,,,,,,
2004,AR,5.7,,,,,,,
2005,AR,5.2,,,,,,,
2006,AR,5.2,,,,,,,
2007,AR,5.3,,,,,,,
2008,AR,5.5,,,,,,,
2009,AR,7.8,,,,,,,
2010,AR,8.2,,,,,,,
2011,AR,8.3,,,,,,,
2012,AR,7.6,,,,,,,
2013,AR,7.2,,,,,,,
2014,AR,6.0,,,,,,,
2015,AR,5.0,,,,,,,
2016,AR,4.0,,,,,,,
2017,AR,3.7,,,,,,,
1990,CA,5.8,,,,,,,
1991,CA,7.7,,,,,,,
1992,CA,9.3,,,,,,,
1993,CA,9.5,,,,,,,
1994,CA,8.6,,,,,,,
1995,CA,7.9,,,,,,,
1996,CA,7.3,,,,,,,
1997,CA,6.4,,,,,,,
1998,CA,6.0,,,,,,,
1999,CA,5.2,,,,,,,
2000,CA,5.0,,,,,,,
2001,CA,5.4,,,,,,,
2002,CA,6.7,,,,,,,
2003,CA,6.8,,,,,,,
2004,CA,6.2,,,,,,,
2005,CA,5.4,,,,,,,
2006,CA,4.9,,,,,,,
2007,CA,5.4,,,,,,,
2008,CA,7.3,,,,,,,
2009,CA,11.1,,,,,,,
2010,CA,12.2,,,,,,,
2011,CA,11.7,,,,,,,
2012,CA,10.4,,,,,,,
2013,CA,8.9,,,,,,,
2014,CA,7.5,,,,,,,
2015,CA,6.2,,,,,,,
2016,CA,5.5,,,,,,,
2017,CA,4.8,,,,,,,
1990,CO,5.2,,,,,,,
1991,CO,5.3,,,,,,,
1992,CO,6.0,,,,,,,
1993,CO,5.3,,,,,,,
1994,CO,4.2,,,,,,,
