BorrCity,BorrState,BorrZip,CDC_Name,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,subpgmdesc,NaicsCode,ProjectState,BusinessType,GrossChargeOffAmount,Default?
0,0,0,0,0,0,0,0,0,,19900102,1990,0,0,0,0,0,0.0,False
1,1,1,1,1,1,1,0,0,,19900102,1990,0,0,0,1,0,0.0,False
2,2,2,2,2,2,2,0,0,,19900103,1990,0,0,0,2,1,0.0,False
3,3,3,3,3,3,3,0,0,,19900103,1990,0,0,0,3,1,0.0,True
4,4,4,4,4,4,4,0,0,,19900103,1990,0,0,0,4,1,0.0,False
4,4,5,4,4,4,4,0,0,,19900103,1990,0,0,1,4,1,0.0,False
5,5,6,5,5,5,5,0,0,,19900103,1990,0,0,0,5,1,0.0,False
6,5,7,6,6,5,6,0,0,,19900104,1990,0,0,0,5,1,0.0,False
7,6,8,7,7,6,7,0,0,,19900105,1990,0,0,2,6,1,0.0,False
8,7,9,8,8,7,8,0,0,,19900105,1990,0,0,0,7,1,0.0,False
9,8,10,9,9,8,0,0,0,,19900105,1990,0,0,3,8,1,0.0,False
10,9,11,10,10,9,9,0,0,,19900105,1990,0,0,4,9,1,0.0,False
11,1,12,11,11,1,10,0,0,,19900105,1990,0,0,0,1,1,0.0,False
8,7,9,8,8,7,8,0,0,,19900105,1990,0,0,5,7,1,0.0,False
12,10,13,12,12,10,11,0,0,,19900108,1990,0,0,6,10,1,0.0,False
13,11,14,13,13,11,12,0,0,,19900109,1990,0,0,0,11,1,0.0,False
14,12,15,14,14,12,13,0,0,,19900109,1990,0,0,0,12,1,0.0,False
15,1,16,15,15,1,14,0,0,,19900109,1990,0,0,7,1,1,0.0,False
16,13,17,16,16,13,0,0,0,,19900109,1990,0,0,8,13,0,0.0,False
17,0,18,17,17,14,15,0,0,,19900109,1990,0,0,0,0,1,0.0,False
1,1,19,1,1,1,1,0,0,,19900110,1990,0,0,9,1,1,0.0,False
18,1,20,18,18,1,16,0,0,,19900110,1990,0,0,0,1,0,0.0,False
