iteration,loss
0,Variable containing:
 0.6867
[torch.FloatTensor of size 1]

10000,0.6094204050302505
20000,0.5438082087039947
30000,0.4938459804654121
40000,0.4610931149125099
50000,Variable containing:
 0.4333
[torch.FloatTensor of size 1]

60000,0.45864882618188857
70000,0.4469269302487373
80000,0.43935977160930634
90000,0.44562071323394775
100000,Variable containing:
 0.4862
[torch.FloatTensor of size 1]

110000,0.4409952735900879
120000,0.4452491664886475
130000,0.4493677803874016
140000,0.4551271080970764
150000,Variable containing:
 0.4719
[torch.FloatTensor of size 1]

160000,0.4496231546998024
170000,0.4496935310959816
180000,0.44577407866716384
190000,0.4440794715285301
200000,Variable containing:
 0.3843
[torch.FloatTensor of size 1]

210000,0.44079384684562684
220000,0.4413938608765602
230000,0.4491865798830986
240000,0.4532184419035912
250000,Variable containing:
 0.5005
[torch.FloatTensor of size 1]

260000,0.4470333054661751
270000,0.4515895929932594
280000,0.45031862884759905
290000,0.441212463080883
300000,Variable containing:
 0.4717
[torch.FloatTensor of size 1]

310000,0.43596400916576383
320000,0.4483449640870094
330000,0.447816336452961
340000,0.452449768781662
350000,Variable containing:
 0.4721
[torch.FloatTensor of size 1]

360000,0.454910609126091
370000,0.44515975803136826
380000,0.4393017253279686
390000,0.44745002806186673
400000,Variable containing:
 0.5151
[torch.FloatTensor of size 1]

