Line	NAICS Code	Industry	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
1	NA	    Gross domestic product	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
2	NA	Private industries	85.5	85	85.1	85.3	85.7	85.9	86.3	86.7	86.9	87	87.1	86.8	86.5	86.4	86.6	86.8	86.9	86.8	86.4	85.7	85.7	86	86.4	86.7	86.9
3	11	  Agriculture forestry fishing and hunting	1.6	1.4	1.5	1.3	1.4	1.2	1.4	1.3	1.1	1	1	0.9	0.9	1	1.2	1	0.9	1	1	1	1.1	1.3	1.2	1.3	1.2
6	21	  Mining	1.5	1.3	1.1	1.1	1	1	1.1	1.1	0.9	0.9	1.1	1.2	1	1.2	1.4	1.7	2	2.2	2.7	2	2.2	2.6	2.5	2.7	2.8
10	22	  Utilities	2.4	2.5	2.5	2.4	2.4	2.3	2.2	2	1.8	1.9	1.8	1.7	1.6	1.6	1.7	1.5	1.7	1.6	1.6	1.7	1.8	1.8	1.6	1.6	1.6
11	23	  Construction	4.1	3.7	3.6	3.7	3.8	3.9	4	4	4.2	4.3	4.5	4.6	4.5	4.6	4.8	5	5	4.9	4.4	4	3.6	3.5	3.6	3.7	3.9
12	32	  Manufacturing	17.3	16.9	16.6	16.4	16.4	16.5	16.1	16.1	15.8	15.5	15.1	13.9	13.4	13.3	13.2	13	13	12.8	12.3	12	12.2	12.3	12.3	12.2	12.1
34	42	  Wholesale trade	5.8	5.9	5.8	5.9	6.1	6	6.1	6.2	6.2	6.1	6.1	5.8	5.6	5.6	5.7	5.8	5.9	5.9	6	5.7	5.8	5.8	6	6	6.1
35	44	  Retail trade	6.7	6.6	6.5	6.7	6.9	6.9	6.9	6.8	7	6.8	6.8	6.7	6.7	6.7	6.5	6.5	6.3	6.1	5.8	5.8	5.8	5.7	5.8	5.8	5.8
40	48	  Transportation and warehousing	2.9	3	3	3	3.1	3.1	3	3	3.1	3	3	2.9	2.8	2.8	2.9	2.9	2.9	2.8	2.9	2.8	2.8	2.9	2.9	2.9	2.9
49	51	  Information	4.5	4.6	4.6	4.7	4.7	4.7	4.8	4.6	4.8	5	4.6	4.7	5	4.9	5.1	4.9	4.7	4.9	5	4.9	4.9	4.7	4.6	4.7	4.5
55	52	    Finance and insurance	5.8	6.2	6.4	6.4	6.2	6.4	6.5	6.7	7	7	7.3	7.7	7.6	7.5	7.3	7.6	7.6	7.2	6.2	6.7	6.7	6.7	7.1	6.8	7.2
60	53	    Real estate and rental and leasing	11.7	11.7	11.8	11.9	11.8	12	11.9	12.1	11.9	12.1	12.1	12.6	12.9	12.7	12.5	12.6	12.4	12.7	12.9	13.2	13	13	12.9	12.9	12.9
66	54	    Professional scientific and technical services	5.4	5.3	5.4	5.4	5.4	5.5	5.7	5.8	6	6.2	6.4	6.5	6.5	6.4	6.4	6.4	6.5	6.7	7.2	6.9	6.8	6.9	7	6.9	6.9
70	55	    Management of companies and enterprises	1.4	1.3	1.3	1.4	1.3	1.4	1.4	1.5	1.6	1.6	1.7	1.6	1.6	1.6	1.7	1.7	1.7	1.8	1.8	1.7	1.8	1.8	1.9	1.9	1.9
71	56	    Administrative and waste management services	2.1	2	2.1	2.1	2.2	2.3	2.4	2.5	2.5	2.6	2.7	2.8	2.7	2.8	2.8	2.9	2.9	3	3	2.9	2.9	2.9	3	3	3
75	61	    Educational services	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	1	0.9	0.9	1	1	1.1	1.1	1.1	1.1	1.1	1.1
76	62	    Health care and social assistance	5.6	6	6.1	6.3	6.2	6.1	6	5.9	5.8	5.8	5.8	6	6.3	6.4	6.4	6.3	6.4	6.4	6.8	7.3	7.2	7.2	7.1	7.1	7
83	71	    Arts entertainment and recreation	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1	0.9	0.9	1	1	0.9	0.9	1	1	1	1	1	1	1	1
86	72	    Accommodation and food services	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.6	2.6	2.7	2.8	2.8	2.8	2.8	2.8	2.7	2.7	2.7	2.7	2.7	2.6	2.7	2.7	2.8	2.8
89	81	  Other services except government	2.6	2.5	2.5	2.6	2.6	2.6	2.6	2.7	2.7	2.7	2.7	2.5	2.6	2.5	2.4	2.4	2.4	2.3	2.2	2.3	2.2	2.2	2.2	2.2	2.2
91	GF	  Federal	5.7	5.9	5.7	5.4	5.2	5	4.7	4.5	4.3	4.2	4.1	4	4.2	4.3	4.3	4.2	4.2	4.2	4.3	4.6	4.7	4.6	4.4	4.2	4.1
96	GS	  State and local	8.8	9.1	9.2	9.2	9.1	9.1	9	8.8	8.8	8.8	8.8	9.1	9.3	9.2	9.2	9	8.9	9	9.3	9.7	9.6	9.4	9.2	9.1	9
